slug,image_title,src,decision,target,confidence
activation-energy,Heat signature of mortars made with Holcim cements,assets/activation-energy/75b20a4332b3bd709d4e9d1813d9025b546cf5db1fc39ac102436c1bd3308469.jpg,relocated,Determining Activation Energy,majority
adiabatic-calorimeter,Heat of hydration with specific surface varied (adapted from Lerch et al. 1946),assets/adiabatic-calorimeter/db330fda4f9b8e4fc1f66bb4bdfd5ca945af4f7a0984f2de97f23a5e641bc3ee.jpg,relocated,Semi-Adiabatic Calorimeter Performance,majority
aggregates,"Pore Size Distribution of Aggregates Studied (C: Carbonate, NC: Non-Carbonate)",assets/aggregates/9366db494830f6d40e8b7d7424d0bf614617efe31a9e522fc8b5dfb651498bd6.jpg,discarded,,none
air-coupled-surface-wave,Typical ultrasonic test procedure,assets/air-coupled-surface-wave/91bfe780ad6c5046d1f764ace0e42ae3d8a10bdfd1925d40293262b1b3bfdb96.jpg,discarded,,no-body-subsection
air-coupled-surface-wave,Proof-of-concept testing using the air-coupled surface wave method at ISU,assets/air-coupled-surface-wave/c58aeba8eed19de9dc34210021ee867486b7996e6eb8708723d3f08655d0ebc8.jpg,discarded,,no-body-subsection
air-coupled-surface-wave,Leaky surface wave detection scheme using an air-coupled transducer,assets/air-coupled-surface-wave/d580482983d6407304c2b15b09df617dd1d72453cd7d5bbbe14ad00ccae278ed.jpg,discarded,,no-body-subsection
air-permeability-test,Air (gas) permeability index for concrete,assets/air-permeability-test/91279f90eea48bc99078b48763776f423cd179062b733bacd80597f5cf2bcc90.jpg,relocated,Interpretation of Air Permeability Index,unanimous
air-void-analysis,"Fresh air, hardened air, and SAM air",assets/air-void-analysis/5d6ab6d4be4f76b9964e410afa474de74200a180276d626812708ae95ff8b79e.jpg,relocated,Testing Methodologies And Principles,majority
alkali-silica-reaction,X-ray diffactogram of silica fume (note the trace of SiC in the sample),assets/alkali-silica-reaction/5e0aeea0ebc0da9e0b177452d127b8b102c8a66ae71ade9fe013c260166ca204.jpg,relocated,"Silica Fume, Metakaolin, and Ternary Blends",unanimous
auto-float,Sensors mounted to texture and curing machine Figure 9. Train configuration for the sensors mounted on the paving machine and on the curing and tining machines,assets/auto-float/c0c5ea498d529624e4aae9c3aabf48afc6c75a036b41c6dc35536fbb4980ffc1.jpg,relocated,Sensor Placement and Configuration,unanimous
backcalculation,E_A C modulus correlation with deflections (CP),assets/backcalculation/11e59a47f503b0414edb9297bd9515b0763104c3e53dd09c36978fdedf5d3413.jpg,discarded,,none
calorimetry,Effect of curing temperature on hydration (adapted from Escalante-Garcia et al. 2000),assets/calorimetry/6ab96b1f4e2144ec5cfe8372732617a6224746a01feb3c53d1e9ba9c8db6ca8b.jpg,relocated,Impact of Admixtures and SCMs on Heat Evolution,majority
calorimetry,Semi-adiabatic calorimeter–IQ drum (www.quadreliservice.com),assets/calorimetry/b549d5c89af8e90ed5b34227dd1379136d8c9bac1c7a461e1775e43fd95ad531.jpg,relocated,Calorimeter Types and Operating Principles,majority
cement-admixture-compatibility,Effect of superplasticizer on cement hydration (adapted from Jolicoeur et al. 1998),assets/cement-admixture-compatibility/976b172b5dc8672917130c34ec980ec0685508a4c8f63d92b9e24b2942cea2a8.jpg,relocated,Mechanisms of Admixture Action,unanimous
cement-hydration,Cement hydration process,assets/cement-hydration/2c42424f21cc9a1f2aa41be4997adf2440d342d698ec110df89fe20c358793e7.jpg,relocated,Stages of Cement Hydration,unanimous
cement-hydration,Heat of hydration with specific surface varied (adapted from Lerch et al. 1946),assets/cement-hydration/db330fda4f9b8e4fc1f66bb4bdfd5ca945af4f7a0984f2de97f23a5e641bc3ee.jpg,relocated,Factors Influencing Hydration Rates,majority
